City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Desc,Country
Kruisfontein,-34.0033,24.7314,52.88,70,0,11.12,clear sky,ZA
Maltahohe,-24.8333,16.9833,66.24,15,43,12.57,scattered clouds,NA
Kalikino,52.9493,39.8269,50.63,85,100,11.72,light rain,RU
Tabas,33.5959,56.9244,80.17,18,0,8.32,clear sky,IR
Cockburn Town,21.4612,-71.1419,83.35,74,15,9.24,few clouds,TC
Iquitos,-3.7481,-73.2472,91.44,58,40,6.91,scattered clouds,PE
Bousso,10.4795,16.7117,74.01,94,89,19.62,very heavy rain,TD
Constitucion,-35.3333,-72.4167,55.56,64,41,5.91,scattered clouds,CL
Perene,-10.9492,-75.2261,90.03,43,69,5.28,broken clouds,PE
Khorixas,-20.3667,14.9667,81.09,17,0,19.53,clear sky,NA
Usinsk,65.9939,57.5281,46.15,91,100,13.06,light rain,RU
Salekhard,66.53,66.6019,46.56,83,100,17.16,overcast clouds,RU
Rocha,-34.4833,-54.3333,60.94,67,100,8.12,overcast clouds,UY
Malkerns,-26.5667,31.1833,59.72,83,100,4.94,light rain,SZ
Elbistan,38.2059,37.1983,73.8,40,0,5.1,clear sky,TR
Olafsvik,64.8945,-23.7142,50.09,88,89,15.7,overcast clouds,IS
Octeville,49.6261,-1.6435,69.58,83,100,3.44,light rain,FR
Bahia Honda,22.9036,-83.1592,88.84,59,51,6.78,broken clouds,CU
Natal,-5.795,-35.2094,84.85,61,40,13.8,scattered clouds,BR
Rio Cuarto,-33.1307,-64.3499,75.47,16,0,10.36,clear sky,AR
Sao Miguel Do Araguaia,-13.275,-50.1628,103.26,12,19,5.5,few clouds,BR
Kayerkan,69.3497,87.7602,35.53,100,97,8.1,overcast clouds,RU
Onguday,50.75,86.15,40.82,85,42,2.89,scattered clouds,RU
Barreirinha,-2.7933,-57.07,104.41,22,27,1.57,scattered clouds,BR
Giresun,40.5,38.5,49.14,95,46,10.63,scattered clouds,TR
Marawi,7.9986,124.2928,69.53,93,93,3.09,overcast clouds,PH
Solano,38.2333,-121.9511,80.08,52,20,17.27,few clouds,US
Jibuti,11.5,42.5,91.36,38,16,9.1,few clouds,DJ
Geraldton,-28.7667,114.6,61.21,88,75,18.41,broken clouds,AU
Mogadishu,2.0371,45.3438,76.68,86,98,18.43,overcast clouds,SO
Mehamn,71.0357,27.8492,42.71,75,75,2.3,broken clouds,NO
Huntington,38.4193,-82.4452,75.13,80,100,10.36,overcast clouds,US
Sorland,67.667,12.6934,51.66,81,100,13.06,overcast clouds,NO
Goderich,43.7501,-81.7165,66.9,81,97,14.25,overcast clouds,CA
Rypefjord,70.6333,23.6667,39.67,70,20,3.44,few clouds,NO
Maragogi,-9.0122,-35.2225,78.64,70,24,9.53,few clouds,BR
Laguna,38.421,-121.4238,80.96,53,0,5.75,clear sky,US
Lodja,-3.4833,23.4333,73.58,82,84,1.23,light rain,CD
Luanda,-8.8368,13.2343,71.92,81,22,11.5,few clouds,AO
Port-Cartier,50.0334,-66.8654,64.62,63,67,4.14,broken clouds,CA
Brae,60.3964,-1.353,53.58,77,38,15.19,scattered clouds,GB
Fort Oglethorpe,34.949,-85.2569,75.9,69,40,5.75,scattered clouds,US
Ati,13.2154,18.3353,92.91,41,98,3.6,overcast clouds,TD
Santarem,-2.4431,-54.7083,87.93,70,20,9.22,few clouds,BR
Koulikoro,14.0,-7.75,89.98,47,47,3.87,scattered clouds,ML
Le Port,-20.9373,55.2919,69.76,74,35,3.94,scattered clouds,RE
Skibbereen,51.55,-9.2667,68.11,88,100,10.85,overcast clouds,IE
Nouadhibou,20.931,-17.0347,73.2,85,31,22.86,scattered clouds,MR
Vadnagar,23.7833,72.6333,84.16,70,100,3.44,overcast clouds,IN
Ibra,22.6906,58.5334,89.44,39,43,11.59,scattered clouds,OM
Guarapari,-20.6667,-40.4975,72.9,69,69,7.72,broken clouds,BR
Strezhevoy,60.7333,77.5889,44.58,72,100,7.23,overcast clouds,RU
Bilma,18.6853,12.9164,100.65,12,8,8.08,clear sky,NE
Novoagansk,61.9449,76.6625,44.74,70,100,9.6,overcast clouds,RU
Dzaoudzi,-12.7887,45.2699,75.09,88,100,6.91,overcast clouds,YT
Prokudskoye,55.0089,82.4574,39.07,86,0,6.71,clear sky,RU
Buchanan,5.8808,-10.0467,79.74,75,56,10.0,broken clouds,LR
Hwange,-18.3693,26.5019,81.23,16,0,3.33,clear sky,ZW
Murgud,16.4,74.2,71.46,98,100,10.2,light rain,IN
San Rafael Del Sur,11.8485,-86.4384,85.78,63,47,2.01,scattered clouds,NI
Kutum,14.2,24.6667,86.56,23,60,5.61,broken clouds,SD
Hirna,9.2167,41.1,65.7,72,100,6.91,light rain,ET
Maunabo,18.0072,-65.8993,87.69,80,41,7.99,scattered clouds,PR
Keetmanshoop,-26.5833,18.1333,69.01,9,83,12.64,broken clouds,NA
Mubi,10.2676,13.2644,76.75,85,88,4.65,light rain,NG
Baie-Saint-Paul,47.4411,-70.4986,76.05,52,75,4.38,broken clouds,CA
Karabuk,41.2049,32.6277,62.64,88,98,2.71,overcast clouds,TR
Colares,38.7992,-9.4469,73.33,80,75,28.99,broken clouds,PT
Shirochanka,46.6497,38.3978,68.32,72,95,1.97,overcast clouds,RU
Pallisa,1.145,33.7094,69.91,81,97,5.5,light rain,UG
Fethiye,36.6217,29.1164,84.07,69,0,2.75,clear sky,TR
San Cristobal,7.7669,-72.225,82.58,39,22,5.57,few clouds,VE
Machico,32.7,-16.7667,78.01,76,40,5.75,scattered clouds,PT
Galle,6.0367,80.217,77.92,90,55,6.91,broken clouds,LK
Sumbal,34.2333,74.6333,62.74,61,0,3.02,clear sky,IN
Minas,-34.3759,-55.2377,63.46,54,95,6.11,overcast clouds,UY
Oranjemund,-28.55,16.4333,55.38,73,0,20.56,clear sky,NA
Inongo,-1.95,18.2667,73.33,77,70,0.36,broken clouds,CD
Pailon,-17.65,-62.75,89.28,26,64,3.47,broken clouds,BO
Havre-Saint-Pierre,50.2334,-63.5986,64.76,82,0,6.91,clear sky,CA
Jojoima,7.8792,-10.7878,79.27,87,84,5.06,light rain,SL
Salta,-24.7859,-65.4117,73.99,22,0,9.22,clear sky,AR
Jardim,-21.4803,-56.1381,93.72,26,59,6.71,broken clouds,BR
Senanga,-16.1167,23.2667,78.39,13,0,4.54,clear sky,ZM
Naberera,-4.2,36.9333,66.83,58,83,16.49,broken clouds,TZ
Bhiwandi,19.3,73.0667,80.46,96,100,4.74,light rain,IN
Kralendijk,12.15,-68.2667,91.38,55,20,16.11,few clouds,BQ
Enniscorthy,52.5008,-6.5578,69.82,97,100,7.78,overcast clouds,IE
Barcelos,41.5388,-8.6151,73.85,92,100,4.56,overcast clouds,PT
Gemena,3.25,19.7667,71.58,98,70,2.86,light rain,CD
Dogondoutchi,13.6393,4.0287,91.87,45,90,3.42,overcast clouds,NE
Puerto Cabezas,14.0351,-83.3888,87.93,64,57,9.15,broken clouds,NI
Grand Gaube,-20.0064,57.6608,70.2,70,7,3.0,clear sky,MU
Serebryansk,49.6925,83.2892,44.58,87,33,2.59,scattered clouds,KZ
Olinda,-8.0089,-34.8553,80.33,65,20,12.66,few clouds,BR
Grevesmuhlen,53.8667,11.1833,67.75,71,100,5.64,overcast clouds,DE
Sept-Iles,50.2001,-66.3821,64.92,87,100,10.36,mist,CA
Roanne,46.0,4.0,86.54,38,61,6.73,broken clouds,FR
Dharan,26.8125,87.2835,73.63,91,100,6.85,overcast clouds,NP
Matagami,49.7502,-77.6328,59.11,88,100,3.44,overcast clouds,CA
Gravdal,68.1214,13.5031,51.69,82,75,3.44,broken clouds,NO
Gwembe,-16.4975,27.6069,71.35,17,0,2.66,clear sky,ZM
Severodvinsk,64.5635,39.8302,50.11,72,100,9.6,overcast clouds,RU
Banda Aceh,5.5577,95.3222,79.5,79,90,5.66,overcast clouds,ID
Tonkino,57.3726,46.4629,51.24,57,94,4.92,overcast clouds,RU
Aksarka,66.5606,67.7975,46.29,84,100,18.99,overcast clouds,RU
Korla,41.7597,86.1469,74.82,28,71,19.57,broken clouds,CN
Quelimane,-17.8786,36.8883,75.15,83,0,10.36,clear sky,MZ
Macapa,0.0389,-51.0664,93.18,55,40,11.5,scattered clouds,BR
Ochakiv,46.6128,31.5498,63.07,61,73,20.24,broken clouds,UA
Garissa,-0.4536,39.6401,82.71,46,81,25.55,broken clouds,KE
Weston,26.1004,-80.3998,94.01,66,40,9.22,scattered clouds,US
Saint-Francois,46.4154,3.9054,89.04,29,0,2.3,clear sky,FR
Antalaha,-14.9003,50.2788,68.05,88,31,7.85,scattered clouds,MG
Kisanga,-7.4362,37.7034,78.85,51,69,7.36,broken clouds,TZ
Gazli,40.1333,63.45,67.28,25,0,15.95,clear sky,UZ
Druzhba,52.0428,33.9453,51.13,86,100,11.03,overcast clouds,UA
Moanda,-1.5575,13.2178,80.15,62,95,1.63,overcast clouds,GA
Serra Talhada,-7.9919,-38.2983,91.44,25,7,9.22,clear sky,BR
Virginia Beach,36.8529,-75.978,89.02,73,75,11.5,broken clouds,US
Otavi,-19.65,17.3333,79.29,9,0,7.61,clear sky,NA
Tres Rios,-22.1167,-43.2092,74.17,53,93,6.2,overcast clouds,BR
Black River,18.0264,-77.8487,88.41,60,78,6.67,broken clouds,JM
Rio Gallegos,-51.6226,-69.2181,50.05,37,20,8.05,few clouds,AR
Sao Sebastiao,-23.76,-45.4097,67.89,85,77,5.97,broken clouds,BR
Bereznik,62.8551,42.7072,50.94,79,96,4.43,overcast clouds,RU
Paramirim,-13.4425,-42.2389,91.08,14,48,11.7,scattered clouds,BR
Garowe,8.4054,48.4845,88.77,34,94,16.08,overcast clouds,SO
Abalak,58.1286,68.5944,46.09,67,100,3.51,overcast clouds,RU
Ndioum,16.5129,-14.6471,98.28,36,43,11.86,scattered clouds,SN
Yarmouth,41.7057,-70.2286,72.07,94,100,4.61,mist,US
Kerchevskiy,59.946,56.2884,45.88,81,91,4.27,overcast clouds,RU
Moose Factory,51.2585,-80.6094,71.6,46,0,11.5,clear sky,CA
Trinidad,-14.8333,-64.9,91.38,46,67,5.75,smoke,BO
Marzuq,14.4,46.4667,82.13,44,98,6.85,light rain,YE
Trelew,-43.249,-65.3051,55.71,45,12,16.91,few clouds,AR
Saint-Georges,12.0564,-61.7485,89.28,70,20,9.22,few clouds,GD
Qasigiannguit,68.8193,-51.1922,46.65,90,100,11.7,light rain,GL
Sire,12.9299,5.2043,89.11,56,20,4.9,few clouds,NG
Vila Velha,-20.3297,-40.2925,72.95,80,84,5.01,broken clouds,BR
Diu,20.7141,70.9822,77.56,94,100,12.48,moderate rain,IN
Akdepe,42.0551,59.3788,62.42,32,0,10.31,clear sky,TM
Llanes,43.4198,-4.7549,79.2,57,100,9.35,overcast clouds,ES
Tabivere,58.5542,26.5956,51.78,83,91,4.29,overcast clouds,EE
Tabou,4.423,-7.3528,77.22,79,98,10.25,overcast clouds,CI
Pennagaram,12.1333,77.9,73.42,76,96,3.29,overcast clouds,IN
San Lawrenz,36.0553,14.204,81.86,62,0,9.53,clear sky,MT
Babol,36.5513,52.679,76.98,78,0,0.0,clear sky,IR
Rundu,-17.9333,19.7667,78.48,10,0,4.47,clear sky,NA
Kuruman,-27.4524,23.4325,61.52,15,41,14.83,scattered clouds,ZA
Korem,12.5058,39.5228,64.02,54,100,1.7,overcast clouds,ET
Viedma,-40.8135,-62.9967,63.07,38,12,14.65,few clouds,AR
Iracoubo,5.4802,-53.2011,84.79,66,3,9.55,clear sky,GF
Caravelas,-17.7125,-39.2481,79.52,48,5,8.16,clear sky,BR
Dolores,-36.3132,-57.6792,64.42,40,84,4.16,light rain,AR
Sassandra,4.95,-6.0833,76.35,82,95,9.04,overcast clouds,CI
Blagodatnoye,45.3997,42.5867,71.62,61,78,20.62,broken clouds,RU
Allanridge,-27.7543,26.6438,59.61,27,94,9.28,overcast clouds,ZA
Dudinka,69.4058,86.1778,36.63,90,100,7.63,overcast clouds,RU
Canavieiras,-15.675,-38.9472,79.5,47,46,6.78,scattered clouds,BR
Cradock,-32.1642,25.6192,55.11,40,0,7.72,clear sky,ZA
Parabel,58.6978,81.4825,37.24,84,73,6.73,broken clouds,RU
Hearst,49.6835,-83.6665,68.25,44,46,2.71,scattered clouds,CA
Lambarene,-0.7001,10.2406,84.29,56,10,2.95,clear sky,GA
Maniitsoq,65.4167,-52.9,41.27,96,100,19.64,light rain,GL
Shetpe,44.1667,52.1167,68.76,19,1,17.09,clear sky,KZ
Aranos,-24.1333,19.1167,67.01,16,47,12.77,scattered clouds,NA
Iskateley,67.6803,53.1512,42.85,97,100,6.06,moderate rain,RU
Mitsamiouli,-11.3847,43.2844,76.01,72,59,3.06,light rain,KM
Domoni,-12.2569,44.5319,75.47,75,87,1.36,light rain,KM
Livadi,40.125,22.1517,61.68,49,20,4.09,few clouds,GR
Ambilobe,-13.2,49.05,71.2,68,44,3.18,scattered clouds,MG
Doha,25.2867,51.5333,95.31,59,0,3.44,clear sky,QA
Rehoboth,-23.3167,17.0833,70.43,17,5,13.76,clear sky,NA
Santa Lucia,27.9117,-15.5407,70.92,83,40,10.36,scattered clouds,ES
Qalyub,30.1792,31.2056,92.19,41,0,14.67,clear sky,EG
Bedesa,8.9,40.7833,68.0,69,100,5.19,overcast clouds,ET
Villazon,-22.0866,-65.5942,59.5,7,9,7.99,clear sky,BO
Yanam,16.7333,82.2167,80.55,80,99,7.72,overcast clouds,IN
Amel,50.3514,6.1681,71.89,52,45,4.61,scattered clouds,BE
Stromness,58.965,-3.296,53.87,82,49,15.99,scattered clouds,GB
Akureyri,65.6835,-18.0878,58.93,41,0,16.11,clear sky,IS
Soyo,-6.1349,12.3689,74.75,77,50,10.54,scattered clouds,AO
Debre Sina,9.85,39.7667,57.69,72,54,0.56,broken clouds,ET
Witu,-2.3889,40.4382,75.36,84,77,11.34,broken clouds,KE
Manadhoo,5.7667,73.3833,80.47,80,33,8.7,scattered clouds,MV
Am Timan,11.0297,20.2827,75.15,94,91,5.93,overcast clouds,TD
Gazojak,41.1875,61.4036,64.13,29,1,10.47,clear sky,TM
Barbacoas,1.6715,-78.1398,89.38,58,75,2.53,broken clouds,CO
Ouadda,8.0777,22.4007,68.47,95,100,0.65,overcast clouds,CF
Cafarnaum,-11.6936,-41.4683,87.73,20,6,10.0,clear sky,BR
Kuytun,54.3419,101.5036,46.0,91,100,10.13,overcast clouds,RU
Palm Coast,29.585,-81.2078,93.0,62,40,9.22,scattered clouds,US
Abonnema,4.7084,6.7931,78.57,81,91,10.51,light rain,NG
Greenwood,34.1668,-82.1165,84.36,69,75,11.5,broken clouds,US
Lamu,-2.2717,40.902,75.42,85,76,12.77,broken clouds,KE
Sinjar,36.3209,41.8754,89.38,16,0,9.6,clear sky,IQ
Clarence Town,-32.5833,151.7833,57.85,78,63,3.49,broken clouds,AU
Jizan,17.3333,42.6667,90.54,54,61,2.1,broken clouds,SA
Mugla,37.2303,28.3557,70.32,50,1,7.52,clear sky,TR
San Joaquin,37.9333,-121.3011,84.54,35,0,6.91,clear sky,US
Abu Dhabi,24.4667,54.3667,89.96,85,16,5.75,haze,AE
Tsabong,-26.0217,22.401,70.14,10,77,12.28,broken clouds,BW
Konosha,60.9736,40.257,48.18,74,29,4.47,scattered clouds,RU
Wageningen,51.9667,5.6667,75.06,60,75,5.75,broken clouds,NL
Slobodskoy,58.7322,50.1772,47.7,82,79,3.71,broken clouds,RU
North Vernon,39.0062,-85.6236,70.29,63,29,9.19,scattered clouds,US
Pergamino,-33.89,-60.5736,70.75,22,0,6.15,clear sky,AR
Touros,-5.1989,-35.4608,83.52,56,36,18.19,scattered clouds,BR
Kabare,-2.4683,28.8242,65.46,85,100,0.56,light rain,CD
Gondar,12.6,37.4667,60.66,81,91,4.43,light rain,ET
Krasnoselkup,65.7,82.4667,38.55,80,92,8.12,overcast clouds,RU
Petropavlovskaya,45.0819,40.4512,68.38,65,94,9.1,overcast clouds,RU
Albany,42.6001,-73.9662,72.88,83,100,0.67,overcast clouds,US
Adrar,20.5022,-10.0711,102.45,16,93,5.32,overcast clouds,MR
Ust-Ishim,57.6935,71.1665,39.38,74,43,2.44,scattered clouds,RU
Ecoporanga,-18.3733,-40.8306,75.24,64,96,5.95,overcast clouds,BR
Bethanien,-26.502,17.1583,67.03,11,79,8.84,broken clouds,NA
Banka,24.8833,86.9167,76.69,93,100,11.92,overcast clouds,IN
La Romana,18.4273,-68.9728,89.96,74,75,6.91,broken clouds,DO
Zhovti Vody,48.3473,33.5003,61.36,74,99,8.01,light rain,UA
Cascais,38.6979,-9.4215,73.51,80,75,28.99,light intensity drizzle,PT
Bentiu,9.2333,29.8333,74.1,92,73,4.09,light rain,SS
Shar,49.5886,81.0453,51.44,62,98,6.15,overcast clouds,KZ
Refojos De Basto,41.5132,-7.9952,67.89,80,100,5.79,overcast clouds,PT
Arsikere,13.3139,76.2561,67.89,86,100,12.68,light rain,IN
Imeni Babushkina,59.7573,43.1285,51.26,65,99,4.83,overcast clouds,RU
Lonevag,60.5262,5.4937,60.21,94,100,5.01,overcast clouds,NO
Muscat,23.6139,58.5922,91.42,61,97,5.37,overcast clouds,OM
Biscarrosse,44.3945,-1.1672,93.15,26,0,5.75,clear sky,FR
Dahra,36.2546,0.8519,99.79,23,36,6.08,scattered clouds,DZ
Kasongo-Lunda,-6.4667,16.8167,85.26,46,12,3.4,few clouds,CD
Laguna De Duero,41.5815,-4.7233,73.4,56,0,18.41,clear sky,ES
Pisco,-13.7,-76.2167,64.45,72,20,9.22,haze,PE
Corinto,37.9407,22.9573,80.89,56,4,4.63,clear sky,GR
Dondo,-19.6094,34.7431,73.33,75,0,10.09,clear sky,MZ
Kundian,32.4587,71.4775,93.34,41,1,5.48,clear sky,PK
Nueva Armenia,15.7956,-86.4985,86.18,54,97,5.44,overcast clouds,HN
Jurm,36.8648,70.8342,61.59,43,0,1.92,clear sky,AF
Opuwo,-18.0607,13.84,81.59,11,7,3.06,clear sky,NA
Korostyshiv,50.3172,29.0563,48.11,96,100,5.3,overcast clouds,UA
Hasanabad,36.5465,61.0543,68.22,19,0,0.0,clear sky,IR
Narasannapeta,18.4167,84.05,82.04,80,100,15.73,overcast clouds,IN
Sokoto,13.0609,5.239,90.01,54,22,4.7,few clouds,NG
Uusikaupunki,60.8004,21.4084,54.77,75,85,7.23,overcast clouds,FI
Enterprise,36.0252,-115.2419,79.65,70,75,4.61,broken clouds,US
Guayaramerin,-10.8368,-65.3614,91.45,49,40,5.75,smoke,BO
Loandjili,-4.7561,11.8578,75.9,77,58,10.4,broken clouds,CG
Kidal,18.4411,1.4078,103.91,8,68,9.8,broken clouds,ML
Dhanaura,28.9667,78.25,79.75,76,63,6.76,broken clouds,IN
Obidos,-1.9175,-55.5181,97.95,29,31,8.01,scattered clouds,BR
Calama,-22.4667,-68.9333,68.49,11,0,20.71,clear sky,CL
Ugoofaaru,5.6667,73.0,80.47,80,29,7.11,scattered clouds,MV
Mushie,-3.0167,16.9,80.04,60,81,3.31,light rain,CD
Bhatkal,13.9667,74.5667,78.28,89,89,15.12,overcast clouds,IN
Constantine,36.365,6.6147,92.61,19,40,9.22,scattered clouds,DZ
Marsh Harbour,26.5412,-77.0636,84.51,69,14,6.08,few clouds,BS
Sambava,-14.2667,50.1667,70.27,87,29,11.07,scattered clouds,MG
Raudeberg,61.9875,5.1352,58.96,1,100,9.95,overcast clouds,NO
Norden,53.6,7.2,72.95,53,100,1.01,overcast clouds,DE
Kigali,-1.95,30.0588,74.68,57,40,5.75,scattered clouds,RW
Lagos,6.5833,3.75,77.32,91,91,9.33,light rain,NG
Araouane,18.9048,-3.5265,105.53,13,91,6.04,overcast clouds,ML
Zhanaozen,43.3,52.8,67.59,19,2,18.75,clear sky,KZ
Saint-Paul,-21.0096,55.2707,69.89,76,41,1.63,scattered clouds,RE
Batticaloa,7.7102,81.6924,80.87,81,45,4.56,scattered clouds,LK
Bizhbulyak,53.6967,54.2642,47.97,71,99,2.1,overcast clouds,RU
Wajir,1.7471,40.0573,87.66,34,59,9.86,broken clouds,KE
Talara,-4.5772,-81.2719,75.96,57,0,24.16,clear sky,PE
Riviere-Au-Renard,48.9957,-64.3971,70.09,79,98,5.46,overcast clouds,CA
Storslett,69.7678,21.0247,41.0,81,0,4.61,clear sky,NO
La Ciotat,43.1748,5.6045,82.8,61,23,5.91,few clouds,FR
Pombas,17.1503,-25.0201,77.5,74,39,13.47,scattered clouds,CV
Altay,47.8667,88.1167,49.33,42,21,3.71,few clouds,CN
Alghero,40.5589,8.3181,80.69,74,0,6.91,clear sky,IT
Marrakesh,31.6315,-8.0083,86.07,39,75,6.91,broken clouds,MA
Bengkulu,-3.8004,102.2655,76.55,85,89,2.06,overcast clouds,ID
Qeshm,26.9581,56.2719,89.47,75,16,5.64,few clouds,IR
Parambu,-6.2111,-40.6944,95.04,20,12,6.73,few clouds,BR
Whitehaven,54.549,-3.5841,58.66,100,62,1.99,broken clouds,GB
Stornoway,58.2093,-6.3865,55.36,88,75,17.27,broken clouds,GB
Camopi,3.1655,-52.3158,97.03,30,5,2.95,clear sky,GF
Bealanana,-14.55,48.7333,55.99,90,54,2.98,broken clouds,MG
Halifax,44.6453,-63.5724,79.68,59,100,9.22,overcast clouds,CA
Ziarat,30.3823,67.7282,64.54,56,19,3.0,few clouds,PK
Bara,10.3744,10.7288,81.5,74,34,5.68,scattered clouds,NG
Kemin,42.7846,75.6892,52.83,57,82,1.77,light rain,KG
Ajdabiya,30.7554,20.2263,79.99,71,0,14.43,clear sky,LY
Kamenka,51.3223,42.7678,52.74,67,100,11.16,light rain,RU
Bukama,-9.2,25.85,85.8,37,49,4.07,scattered clouds,CD
Gazanjyk,39.2446,55.5154,74.26,15,0,23.85,clear sky,TM
Ginir,7.1333,40.7,65.23,67,100,4.32,overcast clouds,ET
Segou,13.4317,-6.2157,89.17,53,67,4.94,broken clouds,ML
Madinat Sittah Uktubar,29.8167,31.05,91.0,35,0,19.15,clear sky,EG
Narodychi,51.2029,29.0823,48.97,97,100,3.53,light rain,UA
Tornio,65.8481,24.1466,46.42,77,95,5.03,overcast clouds,FI
Eravur,7.7733,81.6095,80.47,81,51,4.43,broken clouds,LK
Padang,-0.9492,100.3543,77.76,85,100,2.55,light rain,ID
Blagoveshchenka,52.8333,79.8667,47.21,84,100,3.29,light rain,RU
Susangerd,31.5608,48.1831,100.51,8,0,15.41,clear sky,IR
Ust-Tsilma,65.441,52.1498,47.35,81,100,7.38,overcast clouds,RU
Tikrit,34.6071,43.6782,95.95,12,0,8.88,clear sky,IQ
Cravo Norte,6.3017,-70.2041,89.94,56,49,3.27,scattered clouds,CO
Kazanka,47.8462,32.8218,61.32,68,95,12.41,overcast clouds,UA
Kirkwall,58.9848,-2.9587,53.65,76,40,13.8,scattered clouds,GB
Hobyo,5.3505,48.5268,76.86,87,56,25.97,broken clouds,SO
Manono,-7.3,27.4167,81.64,52,92,2.57,light rain,CD
Aguas Vermelhas,-15.7472,-41.46,86.32,22,34,7.72,scattered clouds,BR
San Rafael,-34.6177,-68.3301,63.75,22,1,8.61,clear sky,AR
Pauini,-7.7136,-66.9764,100.67,30,22,2.19,few clouds,BR
Svetlyy,54.675,20.1347,55.45,70,7,6.17,clear sky,RU
Tara,56.8944,74.371,45.3,65,100,3.2,overcast clouds,RU
Gariaband,20.635,82.0614,74.34,93,98,9.04,overcast clouds,IN
Durban,-29.8579,31.0292,60.93,95,100,7.72,light rain,ZA
Mus,39.0,41.75,70.18,21,0,5.03,clear sky,TR
Santa Rosa,14.3122,121.1114,84.11,86,100,6.89,overcast clouds,PH
Coruripe,-10.1256,-36.1756,78.4,67,25,9.82,scattered clouds,BR
Marsabit,2.3284,37.9899,74.1,41,58,14.45,broken clouds,KE
Yol,32.1667,76.2,73.94,75,6,5.19,clear sky,IN
Tazmalt,36.3868,4.3989,91.99,27,97,8.3,overcast clouds,DZ
Taywarah,33.35,64.4167,55.71,22,4,1.88,clear sky,AF
Edelira,-26.75,-55.2667,76.21,34,63,4.59,broken clouds,PY
Jamundi,3.2607,-76.535,84.16,55,72,3.4,broken clouds,CO
Mahajanga,-15.7167,46.3167,77.02,69,20,0.0,few clouds,MG
General Pico,-35.6566,-63.7568,75.97,14,0,8.99,clear sky,AR
Pokhara,28.2333,83.9833,70.3,96,100,2.59,overcast clouds,NP
Esna,25.2934,32.554,94.21,15,0,9.86,clear sky,EG
Tyukhtet,56.5389,89.3011,38.55,88,97,8.01,overcast clouds,RU
Ndele,8.4109,20.6473,69.35,98,100,2.62,overcast clouds,CF
Neunkirchen,49.35,7.1833,76.75,46,0,3.44,clear sky,DE
Pietersburg,-23.9045,29.4688,61.65,63,0,8.05,clear sky,ZA
Tenkodogo,11.78,-0.3697,75.34,83,98,5.28,overcast clouds,BF
Offa,8.15,4.7167,73.26,92,99,6.62,heavy intensity rain,NG
Henties Bay,-22.116,14.2845,56.41,84,1,7.56,clear sky,NA
